mapName,id
A0,Mayank Kumar Goyal
A1,Yatendra Kumar Verma
A2,Paras Bassi
A3,Paurush Kumar Misra
A4,Asmare Emerie Kassahun
A5,Alemayehu Molla
A6,Zoltán Szlávik
A7,László Havasi
A8,Tamás Szirányi
A9,Rinke Hoekstra
A10,Paul T. Groth
A11,Kun Qian
A12,Lucian Popa
A13,Prithviraj Sen
A14,Kathleen McKeown
A15,Nguyen Tran Minh Khue
A16,Nhon Van Do
A17,Nestor Rychtyckyj
A18,Jian Zhao
A19,Lin Xiong
A20,Jayashree Karlekar
A21,Fang Zhao
A22,Zhecan Wang
A23,Sugiri Pranata
A24,Shengmei Shen
A25,Shuicheng Yan
A26,Jiashi Feng
A27,Harry Zhou
A28,Xiuli Wang
A29,Rui Guo
A30,Jizhong Liu
A31,Xiaoying Gao
A32,Lina Wang
A33,Wei Lei
A34,Zhiying Liu
A35,Chi Zhang
A36,Ke Zuo
A37,Sachiyo Arai
A38,Yoshihisa Ishigaki
A39,Fred G. Martin
A40,Sarah Kuhn
A41,Michelle Scribner-MacLean
A42,Christopher Corcoran
A43,James M. Dalphond
A44,John Fertitta
A45,Michael McGuiness
A46,Sam Christy
A47,Ivan Rudnicki
A48,Kiyohiko Uehara
A49,Takumi Koyama
A50,Kaoru Hirota
A51,Fangkai Yang
A52,Piyush Khandelwal
A53,Matteo Leonetti
A54,Peter Stone
A55,Yi Shen
A56,Yafeng Jiang
A57,Mingxin Yuan
A58,Zhaoli Ye
A59,Daiki Nakajima
A60,Yusuke Takahashi
A61,Yasuaki Yuda
A62,Masayuki Hoshino
A63,Kenichi Higuchi
A64,Catherine Han Lin
A65,Angela Wei Hong Yang
A66,Siddhi Pittayachawan
A67,Nilmini Wickramasinghe
A68,Chang He
A69,Lei Zhang
A70,Juquan Mao
A71,Aijun Cao
A72,Pei Xiao
A73,Muhammad Ali Imran
A74,Roy Anati
A75,Kostas Daniilidis
A76,Lin Clark
A77,Robert Fitch
A78,Zack J. Butler
A79,Daniela Rus
A80,Andrzej Skowron
A81,Alberto Pettorossi
A82,Yung-Fa Huang
A83,Jia-Yi Lin
A84,Chung-Hsin Hsu
A85,Sowat Boonyos
A86,Jyh-Horng Wen
A87,Stuart N. Wrigley
