mapName,id
T0,Performance Analysis of TCP & UDP in Co-located Variable Bandwidth Environment Sharing Same Transmission Links
T1,BPR Complementary Competence For Developing Economy Public Sector: A Construct And Measurement Instrument
T2,Geometrical Scene Analysis Using Co-motion Statistics
T3,Linkitup: Link Discovery for Research Data
T4,Active Learning for Large-Scale Entity Resolution
T5,Recursion in text and its use in language generation
T6,Building a Model of an Intelligent Multi-Agent System Based on Distributed Knowledge Bases for Solving Problems Automatically
T7,Machine Translation for Manufacturing: A Case Study at Ford Motor Company
T8,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis
T9,Intelligent Cultural Advisor System: an interactive On-line Culture Guidebook
T10,A Novel Alternative Weighted Fuzzy C-Means Algorithm and Cluster Validity Analysis
T11,Information Theoretic Approach for Measuring Interaction in Multiagent Domain
T12,iSENSE: A Web Environment and Hardware Platform for Data Sharing and Citizen Science
T13,Fuzzy Inference with Schemes for Guaranteeing Convexity and Symmetricity in Consequences Based on alpha-Cuts
T14,Advances in Neural Information Processing Systems 8, NIPS, Denver, CO, USA, November 27-30, 1995
T15,Planning in Answer Set Programming while Learning Action Costs for Mobile Robots
T16,A novel immune algorithm for mobile robot path planning based on multi-population competition
T17,Distributed transmission power control method based on soft FFR for cellular downlink
T18,Investigating the Possibility for is/IT to Support the Delivery of Chinese Medicine
T19,Output SNR analysis and detection criteria for optimum DCT-based multicarrier system
T20,Constructing Topological Maps using Markov Random Fields and Loop-Closure Detection
T21,SPARQL Views: A Visual SPARQL Query Builder for Drupal
T22,The Crystal Robot: Implementation and Demonstration.
T23,Factual Knowledge For Developing Concurrent Programs
T24,A Hierarchical Road Model for Shortest Route Discovery in Vehicular Networks
T25,Evaluating semantic search tools using the SEALS Platform
T26,Evolutionary Design of Combinational Logic Circuits
T27,Increasing Nogoods in Restart-Based Search
T28,Combining P-Plan and the REPRODUCE-ME Ontology to Achieve Semantic Enrichment of Scientific Experiments Using Interactive Notebooks
T29,OrientStream: A Framework for Dynamic Resource Allocation in Distributed Data Stream Management Systems
T30,Learning Transferable Self-attentive Representations for Action Recognition in Untrimmed Videos with Weak Supervision
T31,Approximate Element Computational Time for Domain Decomposition in Parallel Finite Element Code
T32,A language and platform-independent approach for reverse engineering
T33,Method for Extraction Wavelet Packets' Coefficients in Loudspeaker Fault Detection Based on PCA
T34,Approximate inference using planar graph decomposition
T35,The Cooperation Mechanism of Multi-agent Systems with Respect to Big Data from Customer Relationship Management Aspect
T36,Procedural Help in Andes: Generating Hints Using a Bayesian Network Student Model
T37,Action Recognition with Semi-global Characteristics and Hidden Markov Models
T38,Different Antecedents for Different Knowledge Transfer: a Relational Perspective
T39,Exploiting a Thesaurus-Based Semantic Net for Knowledge-Based Search
T40,Global analysis of Expectation Maximization for mixtures of two Gaussians
T41,A Bayesian LDA-based model for semi-supervised part-of-speech tagging
T42,Location based surveillance for early detection of contagious outbreaks
T43,Machine Reading
T44,Modeling Cultural Dynamics
T45,Temporal Milestones in HTNs
T46,Shrinking the Tube: A New Support Vector Regression Algorithm
T47,An Integrated Approach to Extracting Ontological Structures from Folksonomies
T48,An Effective Approach to Detect DDos Attack
T49,Simulated Annealing Based Hand Tracking in a Discrete Space
T50,Cerebella: Automatic Generation of Nonverbal Behavior for Virtual Humans
T51,The Antecedents of an Individual's Commitments toward continuously using Social Network Site
T52,Beyond Parity: Fairness Objectives for Collaborative Filtering
T53,Practical Temporal Projection
T54,Inevitable Psychological Mechanisms Triggered by Robot Appearance: Morality Included?
T55,Wormhole Hamiltonian Monte Carlo
T56,Efficient metadeliberation auctions
T57,Automatic Detection of Fake News on Social Media Platforms
T58,Peer-vasive Computing: Leveraging Peers to Enhance the Accuracy of Self-Reports in Mobile Human Studies
T59,Community Clustering: Leveraging an Academic Crowd to Form Coherent Conference Sessions
T60,An Enhanced Fall Detection Approach Based on Cost Sensitivity Analysis
T61,Learning to hash on structured data
T62,The Influence of Information Security Stress on Security Policy Compliance: A Protection Motivation Theory Perspective
T63,Rapid prototyping a semantic web application for cultural heritage: the case of MANTIC
T64,MiME: Multilevel Medical Embedding of Electronic Health Records for Predictive Healthcare
T65,Scalable Fast Evolutionary k-Means Clustering
T66,Approach to Image Segmentation Based on Interval Type-2 Fuzzy Subtractive Clustering
T67,Using a Block Metaphor for Representing R2RML Mappings
T68,COOL-WD: A Completeness Tool for Wikidata.
T69,Identification of chaotic characteristic of power load based on lyapunov exponents
T70,Action Recognition using Visual Attention
T71,A Method for Determining Representative of Ontology-Based User Profile in Personalized Document Retrieval Systems
T72,CleanTax: A Framework for Reasoning about Taxonomies
T73,Payola: Collaborative Linked Data Analysis and Visualization Framework
T74,Online Learning with Gaussian Payoffs and Side Observations
T75,Exploiting enriched contextual information for mobile app classification
T76,Research on Detecting Method of Submarine Oil Pipelines Corrosion Degree Based on Chaos Genetic Algorithm Neural Network
T77,Image Preprocessing and Trajectory Feature Extraction based on Hidden Markov Models for Sign Language Recognition
T78,Empirical Entropy Manipulation for Real-World Problems
T79,Semi-Supervised Pattern Classification Utilizing Fuzzy Clustering and Nonlinear Mapping of Data
T80,Guidelines for Strategic Information Systems Planning in Small and Medium Enterprises
T81,The Impact of Foreign Direct Investment and Trade Openness on ICT Expansion
T82,Resolution Limits of Sparse Coding in High Dimensions
T83,Organization/fuzzy Approach to the CTO Problem
T84,Context Classification Using Entropy and Weak Negation: Some Criteria for Good Computational Properties
T85,Creating a Mars Target Encyclopedia by Extracting Information from the Planetary Science Literature
T86,Dialogue Generation With GAN
T87,iSeM: Approximated Reasoning for Adaptive Hybrid Selection of Semantic Services
T88,Content-Based Mammogram Retrieval Using Mixed Kernel PCA and Curvelet Transform
T89,The Formal Research and Application Based on Design Patterns
T90,Integrating Planning and Acting in a Case-Based Framework
T91,High-speed network modeling for full system simulation
T92,Converging on Semantics to Ensure Local Government Data Reuse
T93,Linking the Deep Web to the Linked DataWeb
T94,On the relationship between description logic and predicate logic queries
T95,A Modified Fuzzy Possibilistic C-means for Context Data Clustering toward Efficient Context Prediction
T96,Evaluation of Disease-Associated Text-Mining Databases
T97,Concept-Aware Feature Extraction for Knowledge Transfer in Reinforcement Learning
T98,Query Expansion Using Word Embeddings
T99,Hierarchical Concept Structures Based Data Retrieval/Mining by Fuzzy Document Ordering System
T100,What Determinates Student Learning Satisfaction in a Blended E-Learning System Environment?
T101,Learning Complex Boolean Functions: Algorithms and Applications
T102,A modified fast block LMS acoustic feedback cancellation for hearing aids
T103,Three Dimensional Face Recognition Using SVM Classifier
T104,Scalable Linked Data Stream Processing via Network-Aware Workload Scheduling
